PASS | 文件已写出 | D:\vcp_hunter\产业链投研\outputs\决策看板_全球Biotech融资.html 字节数=365954
PASS | 返回链接存在 cite-E-011-6 | 
PASS | 返回链接存在 cite-E-011-7 | 
PASS | 返回链接存在 cite-E-011-8 | 
PASS | 返回链接存在 cite-E-011-9 | 
PASS | 返回链接存在 cite-E-011-10 | 
PASS | 返回链接存在 cite-E-011-11 | 
PASS | 返回链接存在 cite-E-011-12 | 
PASS | 返回链接存在 cite-E-011-13 | 
PASS | 返回链接存在 cite-E-011-14 | 
PASS | 返回链接存在 cite-E-012-1 | 
PASS | 返回链接存在 cite-E-012-2 | 
PASS | 返回链接存在 cite-E-012-3 | 
PASS | 返回链接存在 cite-E-012-4 | 
PASS | 返回链接存在 cite-E-012-5 | 
PASS | 返回链接存在 cite-E-012-6 | 
PASS | 返回链接存在 cite-E-012-7 | 
PASS | 返回链接存在 cite-E-012-8 | 
PASS | 返回链接存在 cite-E-013-1 | 
PASS | 返回链接存在 cite-E-013-2 | 
PASS | 返回链接存在 cite-E-013-3 | 
PASS | 返回链接存在 cite-E-013-4 | 
PASS | 返回链接存在 cite-E-014-1 | 
PASS | 返回链接存在 cite-E-014-2 | 
PASS | 返回链接存在 cite-E-014-3 | 
PASS | 返回链接存在 cite-E-014-4 | 
PASS | 返回链接存在 cite-E-014-5 | 
PASS | 返回链接存在 cite-E-014-6 | 
PASS | 返回链接存在 cite-E-014-7 | 
PASS | 返回链接存在 cite-E-014-8 | 
PASS | 返回链接存在 cite-E-015-1 | 
PASS | 返回链接存在 cite-E-015-2 | 
PASS | 返回链接存在 cite-E-015-3 | 
PASS | 返回链接存在 cite-E-015-4 | 
PASS | 返回链接存在 cite-E-015-5 | 
PASS | 返回链接存在 cite-E-015-6 | 
PASS | 返回链接存在 cite-E-016-1 | 
PASS | 返回链接存在 cite-E-016-2 | 
PASS | 返回链接存在 cite-E-017-1 | 
PASS | 返回链接存在 cite-E-018-1 | 
PASS | 返回链接存在 cite-E-018-2 | 
PASS | 返回链接存在 cite-E-019-1 | 
PASS | 返回链接存在 cite-E-019-2 | 
PASS | 返回链接存在 cite-E-019-3 | 
PASS | 返回链接存在 cite-E-019-4 | 
PASS | 返回链接存在 cite-E-020-1 | 
PASS | 返回链接存在 cite-E-020-2 | 
PASS | 返回链接存在 cite-E-020-3 | 
PASS | 返回链接存在 cite-E-020-4 | 
PASS | 返回链接存在 cite-E-020-5 | 
PASS | 返回链接存在 cite-E-020-6 | 
PASS | 返回链接存在 cite-E-020-7 | 
PASS | 返回链接存在 cite-E-020-8 | 
PASS | 返回链接存在 cite-E-020-9 | 
PASS | 返回链接存在 cite-E-020-10 | 
PASS | 返回链接存在 cite-E-021-1 | 
PASS | 返回链接存在 cite-E-021-2 | 
PASS | 返回链接存在 cite-E-022-1 | 
PASS | 返回链接存在 cite-E-022-2 | 
PASS | 返回链接存在 cite-E-022-3 | 
PASS | 返回链接存在 cite-E-022-4 | 
PASS | 返回链接存在 cite-E-022-5 | 
PASS | 返回链接存在 cite-E-023-1 | 
PASS | 返回链接存在 cite-E-023-2 | 
PASS | 返回链接存在 cite-E-023-3 | 
PASS | 返回链接存在 cite-E-023-4 | 
PASS | 返回链接存在 cite-E-023-5 | 
PASS | 返回链接存在 cite-E-023-6 | 
PASS | 返回链接存在 cite-E-023-7 | 
PASS | 返回链接存在 cite-E-023-8 | 
PASS | 返回链接存在 cite-E-023-9 | 
PASS | 返回链接存在 cite-E-023-10 | 
PASS | 返回链接存在 cite-E-023-11 | 
PASS | 返回链接存在 cite-E-023-12 | 
PASS | 返回链接存在 cite-E-023-13 | 
PASS | 返回链接存在 cite-E-023-14 | 
PASS | 返回链接存在 cite-E-023-15 | 
PASS | 返回链接存在 cite-E-023-16 | 
PASS | 返回链接存在 cite-E-024-1 | 
PASS | 返回链接存在 cite-E-024-2 | 
PASS | 返回链接存在 cite-E-024-3 | 
PASS | 返回链接存在 cite-E-024-4 | 
PASS | 返回链接存在 cite-E-024-5 | 
PASS | 返回链接存在 cite-E-024-6 | 
PASS | 返回链接存在 cite-E-024-7 | 
PASS | 返回链接存在 cite-E-024-8 | 
PASS | 返回链接存在 cite-E-024-9 | 
PASS | 返回链接存在 cite-E-025-1 | 
PASS | 返回链接存在 cite-E-025-2 | 
PASS | 返回链接存在 cite-E-025-3 | 
PASS | 返回链接存在 cite-E-025-4 | 
PASS | 返回链接存在 cite-E-025-5 | 
PASS | 返回链接存在 cite-E-025-6 | 
PASS | 返回链接存在 cite-E-025-7 | 
PASS | 返回链接存在 cite-E-025-8 | 
PASS | 返回链接存在 cite-E-026-1 | 
PASS | 返回链接存在 cite-E-026-2 | 
PASS | 返回链接存在 cite-E-026-3 | 
PASS | 返回链接存在 cite-E-026-4 | 
PASS | 返回链接存在 cite-E-027-1 | 
PASS | 返回链接存在 cite-E-027-2 | 
PASS | 返回链接存在 cite-E-027-3 | 
PASS | 返回链接存在 cite-E-027-4 | 
PASS | 返回链接存在 cite-E-027-5 | 
PASS | 返回链接存在 cite-E-027-6 | 
PASS | 返回链接存在 cite-E-027-7 | 
PASS | 返回链接存在 cite-E-027-8 | 
PASS | 返回链接存在 cite-E-027-9 | 
PASS | 返回链接存在 cite-E-027-10 | 
PASS | 返回链接存在 cite-E-027-11 | 
PASS | 返回链接存在 cite-E-027-12 | 
PASS | 返回链接存在 cite-E-028-1 | 
PASS | 返回链接存在 cite-E-028-2 | 
PASS | 返回链接存在 cite-E-028-3 | 
PASS | 返回链接存在 cite-E-028-4 | 
PASS | 返回链接存在 cite-E-029-1 | 
PASS | 返回链接存在 cite-E-029-2 | 
PASS | 返回链接存在 cite-E-029-3 | 
PASS | 返回链接存在 cite-E-029-4 | 
PASS | 返回链接存在 cite-E-029-5 | 
PASS | 返回链接存在 cite-E-030-1 | 
PASS | 返回链接存在 cite-E-030-2 | 
PASS | 返回链接存在 cite-E-031-1 | 
PASS | 返回链接存在 cite-E-031-2 | 
PASS | 返回链接存在 cite-E-031-3 | 
PASS | 返回链接存在 cite-E-031-4 | 
PASS | 返回链接存在 cite-E-031-5 | 
PASS | 返回链接存在 cite-E-032-1 | 
PASS | 返回链接存在 cite-E-032-2 | 
PASS | 返回链接存在 cite-E-032-3 | 
PASS | 返回链接存在 cite-E-032-4 | 
PASS | 返回链接存在 cite-E-032-5 | 
PASS | 返回链接存在 cite-E-032-6 | 
PASS | 返回链接存在 cite-E-032-7 | 
PASS | 返回链接存在 cite-E-032-8 | 
PASS | 返回链接存在 cite-E-032-9 | 
PASS | 返回链接存在 cite-E-032-10 | 
PASS | 返回链接存在 cite-E-032-11 | 
PASS | 返回链接存在 cite-E-032-12 | 
PASS | 返回链接存在 cite-E-032-13 | 
PASS | 返回链接存在 cite-E-032-14 | 
PASS | 返回链接存在 cite-E-033-1 | 
PASS | 返回链接存在 cite-E-033-2 | 
PASS | 返回链接存在 cite-E-033-3 | 
PASS | 返回链接存在 cite-E-033-4 | 
PASS | 返回链接存在 cite-E-033-5 | 
PASS | 返回链接存在 cite-E-034-1 | 
PASS | 返回链接存在 cite-E-034-2 | 
PASS | 返回链接存在 cite-E-034-3 | 
PASS | 返回链接存在 cite-E-034-4 | 
PASS | 返回链接存在 cite-E-034-5 | 
PASS | 返回链接存在 cite-E-034-6 | 
PASS | 返回链接存在 cite-E-034-7 | 
PASS | 返回链接存在 cite-E-034-8 | 
PASS | 返回链接存在 cite-E-034-9 | 
PASS | 返回链接存在 cite-E-034-10 | 
PASS | 返回链接存在 cite-E-034-11 | 
PASS | 返回链接存在 cite-E-035-1 | 
PASS | 返回链接存在 cite-E-035-2 | 
PASS | 返回链接存在 cite-E-035-3 | 
PASS | 返回链接存在 cite-E-035-4 | 
PASS | 返回链接存在 cite-E-036-1 | 
PASS | 返回链接存在 cite-E-036-2 | 
PASS | 返回链接存在 cite-E-036-3 | 
PASS | 返回链接存在 cite-E-036-4 | 
PASS | 返回链接存在 cite-E-037-1 | 
PASS | 返回链接存在 cite-E-037-2 | 
PASS | 返回链接存在 cite-E-037-3 | 
PASS | 返回链接存在 cite-E-037-4 | 
PASS | 返回链接存在 cite-E-037-5 | 
PASS | 返回链接存在 cite-E-037-6 | 
PASS | 返回链接存在 cite-E-037-7 | 
PASS | 返回链接存在 cite-E-037-8 | 
PASS | 返回链接存在 cite-E-037-9 | 
PASS | 返回链接存在 cite-E-037-10 | 
PASS | 返回链接存在 cite-E-037-11 | 
PASS | 返回链接存在 cite-E-038-1 | 
PASS | 返回链接存在 cite-E-038-2 | 
PASS | 返回链接存在 cite-E-038-3 | 
PASS | 返回链接存在 cite-E-039-1 | 
PASS | 返回链接存在 cite-E-039-2 | 
PASS | 返回链接存在 cite-E-039-3 | 
PASS | 返回链接存在 cite-E-040-1 | 
PASS | 返回链接存在 cite-E-040-2 | 
PASS | 返回链接存在 cite-E-040-3 | 
PASS | 返回链接存在 cite-E-041-1 | 
PASS | 返回链接存在 cite-E-041-2 | 
PASS | 返回链接存在 cite-E-041-3 | 
PASS | 返回链接存在 cite-E-041-4 | 
PASS | 返回链接存在 cite-E-041-5 | 
PASS | 返回链接存在 cite-E-041-6 | 
PASS | 返回链接存在 cite-E-041-7 | 
PASS | 返回链接存在 cite-E-041-8 | 
PASS | 返回链接存在 cite-E-041-9 | 
PASS | 返回链接存在 cite-E-041-10 | 
PASS | 返回链接存在 cite-E-041-11 | 
PASS | 返回链接存在 cite-E-042-1 | 
PASS | 返回链接存在 cite-E-042-2 | 
PASS | 返回链接存在 cite-E-042-3 | 
PASS | 返回链接存在 cite-E-042-4 | 
PASS | 返回链接存在 cite-E-042-5 | 
PASS | 返回链接存在 cite-E-043-1 | 
PASS | 返回链接存在 cite-E-043-2 | 
PASS | 返回链接存在 cite-E-043-3 | 
PASS | 返回链接存在 cite-E-044-1 | 
PASS | 返回链接存在 cite-E-044-2 | 
PASS | 返回链接存在 cite-E-044-3 | 
PASS | 返回链接存在 cite-E-044-4 | 
PASS | 返回链接存在 cite-E-044-5 | 
PASS | 返回链接存在 cite-E-044-6 | 
PASS | 返回链接存在 cite-E-045-1 | 
PASS | 返回链接存在 cite-E-045-2 | 
PASS | 返回链接存在 cite-E-045-3 | 
PASS | 返回链接存在 cite-E-045-4 | 
PASS | 返回链接存在 cite-E-045-5 | 
PASS | 返回链接存在 cite-E-045-6 | 
PASS | 返回链接存在 cite-E-046-1 | 
PASS | 返回链接存在 cite-E-046-2 | 
PASS | 返回链接存在 cite-E-046-3 | 
PASS | 返回链接存在 cite-E-046-4 | 
PASS | 正文无裸 E-xxx 编号 | count=0 示例: []
PASS | html 标记 mode | 
PASS | html 标记 baseline | 
PASS | html 标记 seed | 
PASS | UTF-8 meta | 
PASS | viewport meta | 
PASS | 全部 moss tokens 在 :root 中逐字出现 | missing=[]
PASS | 图表数量 = 15 | found=15
PASS | 每图均有数据表回退 | 
PASS | 章节锚点齐全 | 

总体: ALL PASS
引用统计: {"E-001": 12, "E-002": 6, "E-003": 5, "E-004": 2, "E-005": 12, "E-006": 16, "E-007": 16, "E-008": 2, "E-009": 14, "E-010": 8, "E-011": 14, "E-012": 8, "E-013": 4, "E-014": 8, "E-015": 6, "E-016": 2, "E-017": 1, "E-018": 2, "E-019": 4, "E-020": 10, "E-021": 2, "E-022": 5, "E-023": 16, "E-024": 9, "E-025": 8, "E-026": 4, "E-027": 12, "E-028": 4, "E-029": 5, "E-030": 2, "E-031": 5, "E-032": 14, "E-033": 5, "E-034": 11, "E-035": 4, "E-036": 4, "E-037": 11, "E-038": 3, "E-039": 3, "E-040": 3, "E-041": 11, "E-042": 5, "E-043": 3, "E-044": 6, "E-045": 6, "E-046": 4}
