signal,condition,sample_size,next_up_count,next_down_or_flat_count,next_up_probability,next_up_prob_ci95_low,next_up_prob_ci95_high,avg_next_return_pct,median_next_return_pct,avg_abs_next_return_pct
IH_top20_long_oi_chg,> 0,140,74,66,0.5285714285714286,0.4462266936992517,0.6093900402636631,0.2843512532138409,0.15750922908517317,1.428163510148329
IH_top20_long_oi_chg,< 0,154,88,66,0.5714285714285714,0.49246688428922425,0.6469133551406853,0.30087686022588683,0.36930254031004583,1.3908604033658227
IH_top20_long_oi_chg,top quartile,74,38,36,0.5135135135135135,0.40180918267194504,0.6238840199343733,-0.018048022749140996,0.07752678880800223,1.5112969114245935
IH_top20_long_oi_chg,bottom quartile,74,45,29,0.6081081081081081,0.4941931053499984,0.7113525155005493,0.4252523606957895,0.49485633494062986,1.4649895803123412
IH_top20_short_oi_chg,> 0,138,73,65,0.5289855072463768,0.44604942263156266,0.6103515203922046,0.28333929593829615,0.15750922908517317,1.441890739911639
IH_top20_short_oi_chg,< 0,156,89,67,0.5705128205128205,0.4920599191278363,0.6455763407694619,0.3015601864438425,0.36930254031004583,1.3791953296877983
IH_top20_short_oi_chg,top quartile,74,37,37,0.5,0.38892400848268727,0.6110759915173127,0.07350925413352367,-0.0017947861594813652,1.4570620526650528
IH_top20_short_oi_chg,bottom quartile,74,46,28,0.6216216216216216,0.507712489269153,0.7235263341877133,0.4573462243474701,0.49485633494062986,1.4267294471754315
IH_top20_net_oi_chg,> 0,158,88,70,0.5569620253164557,0.4790657761349476,0.6321540832831499,0.42315545166671653,0.32316977549641246,1.4848937735160936
IH_top20_net_oi_chg,< 0,136,74,62,0.5441176470588235,0.46034800812412696,0.6254633670317638,0.14180625412781686,0.28245913699184166,1.3200160097320586
IH_top20_net_oi_chg,top quartile,74,48,26,0.6486486486486487,0.5350055040184238,0.7476197246510794,0.7390613171128484,0.7963325349708672,1.7741760117792804
IH_top20_net_oi_chg,bottom quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.23103241398770305,0.28245913699184166,1.4427630425557822
IH_net_buy_qty,> 0,158,88,70,0.5569620253164557,0.4790657761349476,0.6321540832831499,0.42315545166671653,0.32316977549641246,1.4848937735160936
IH_net_buy_qty,< 0,0,0,0,,,,,,
IH_net_buy_qty,top quartile,74,48,26,0.6486486486486487,0.5350055040184238,0.7476197246510794,0.7390613171128484,0.7963325349708672,1.7741760117792804
IH_net_buy_qty,bottom quartile,136,74,62,0.5441176470588235,0.46034800812412696,0.6254633670317638,0.14180625412781686,0.28245913699184166,1.3200160097320586
IH_net_sell_qty,> 0,136,74,62,0.5441176470588235,0.46034800812412696,0.6254633670317638,0.14180625412781686,0.28245913699184166,1.3200160097320586
IH_net_sell_qty,< 0,0,0,0,,,,,,
IH_net_sell_qty,top quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.23103241398770305,0.28245913699184166,1.4427630425557822
IH_net_sell_qty,bottom quartile,158,88,70,0.5569620253164557,0.4790657761349476,0.6321540832831499,0.42315545166671653,0.32316977549641246,1.4848937735160936
IC_top20_long_oi_chg,> 0,133,72,61,0.5413533834586466,0.4566959107530906,0.6236890014373544,0.31057462194144364,0.3068409084682644,1.523688055043659
IC_top20_long_oi_chg,< 0,161,90,71,0.5590062111801242,0.4818224486242884,0.6334397182073851,0.27849557271125647,0.2560782202563727,1.3135706970080505
IC_top20_long_oi_chg,top quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.15756253014118618,0.30452369366464893,1.6380951026418893
IC_top20_long_oi_chg,bottom quartile,74,43,31,0.581081081081081,0.4674007862451828,0.686758429392728,0.392705868959417,0.3832927122004448,1.4969311559035123
IC_top20_short_oi_chg,> 0,132,72,60,0.5454545454545454,0.4604241101750002,0.6279140719429961,0.2930941325555249,0.30452369366464893,1.4841016873570168
IC_top20_short_oi_chg,< 0,162,90,72,0.5555555555555556,0.47862984166909595,0.6299074613959976,0.2929369532555247,0.27454753514692953,1.347123276592448
IC_top20_short_oi_chg,top quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.08302941352526617,0.2602493937228556,1.5279418401907436
IC_top20_short_oi_chg,bottom quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.25134328553058416,0.230410524157032,1.4504361191381334
IC_top20_net_oi_chg,> 0,171,92,79,0.5380116959064327,0.46327168647667566,0.6110813279089167,0.23055727651477098,0.22715567274209647,1.3715181357107566
IC_top20_net_oi_chg,< 0,123,70,53,0.5691056910569106,0.4808071908005235,0.6532182393422689,0.37982859870486557,0.31332001723261005,1.4602096937606783
IC_top20_net_oi_chg,top quartile,74,37,37,0.5,0.38892400848268727,0.6110759915173127,0.1698305244317301,0.023739244331999476,1.4968530798870443
IC_top20_net_oi_chg,bottom quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.21695661827731297,0.2870539514036152,1.4027281993317988
IC_net_buy_qty,> 0,171,92,79,0.5380116959064327,0.46327168647667566,0.6110813279089167,0.23055727651477098,0.22715567274209647,1.3715181357107566
IC_net_buy_qty,< 0,0,0,0,,,,,,
IC_net_buy_qty,top quartile,74,37,37,0.5,0.38892400848268727,0.6110759915173127,0.1698305244317301,0.023739244331999476,1.4968530798870443
IC_net_buy_qty,bottom quartile,123,70,53,0.5691056910569106,0.4808071908005235,0.6532182393422689,0.37982859870486557,0.31332001723261005,1.4602096937606783
IC_net_sell_qty,> 0,123,70,53,0.5691056910569106,0.4808071908005235,0.6532182393422689,0.37982859870486557,0.31332001723261005,1.4602096937606783
IC_net_sell_qty,< 0,0,0,0,,,,,,
IC_net_sell_qty,top quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.21695661827731297,0.2870539514036152,1.4027281993317988
IC_net_sell_qty,bottom quartile,171,92,79,0.5380116959064327,0.46327168647667566,0.6110813279089167,0.23055727651477098,0.22715567274209647,1.3715181357107566
IM_top20_long_oi_chg,> 0,140,79,61,0.5642857142857143,0.48151720505769724,0.6436204463588611,0.32373661765755557,0.3274442601335359,1.418848026608395
IM_top20_long_oi_chg,< 0,154,83,71,0.538961038961039,0.46024046134559793,0.615785123797989,0.2650719834588735,0.24487179791417013,1.399329024765763
IM_top20_long_oi_chg,top quartile,74,41,33,0.5540540540540541,0.4409291962707845,0.6618436141544893,0.25435803228292553,0.30452369366464893,1.4725324286213728
IM_top20_long_oi_chg,bottom quartile,74,42,32,0.5675675675675675,0.4541253909309131,0.6743406221006791,0.267418847137991,0.24487179791417013,1.3542533325987247
IM_top20_short_oi_chg,> 0,132,71,61,0.5378787878787878,0.4529590788257793,0.6206560729392175,0.21025598792386596,0.20659735946905178,1.360148309378537
IM_top20_short_oi_chg,< 0,162,91,71,0.5617283950617284,0.48476805965193653,0.635828943753723,0.36043470073317285,0.32419871461334404,1.4481223253156534
IM_top20_short_oi_chg,top quartile,74,42,32,0.5675675675675675,0.4541253909309131,0.6743406221006791,0.3133256719055212,0.32420470575136306,1.4874171800714413
IM_top20_short_oi_chg,bottom quartile,74,43,31,0.581081081081081,0.4674007862451828,0.686758429392728,0.4198029762303159,0.32014713825430086,1.3758930691254698
IM_top20_net_oi_chg,> 0,175,92,83,0.5257142857142857,0.4519757511662367,0.598348110843497,0.25278304798052625,0.22474790242918985,1.3946135268619497
IM_top20_net_oi_chg,< 0,119,70,49,0.5882352941176471,0.4983993017742346,0.6725525581820018,0.3521611641019513,0.3823693681486606,1.4292271120862317
IM_top20_net_oi_chg,top quartile,74,43,31,0.581081081081081,0.4674007862451828,0.686758429392728,0.3239706254650347,0.5399766410679518,1.596666880799995
IM_top20_net_oi_chg,bottom quartile,74,42,32,0.5675675675675675,0.4541253909309131,0.6743406221006791,0.20802126138180205,0.3420468716405889,1.3154921995797142
IM_net_buy_qty,> 0,175,92,83,0.5257142857142857,0.4519757511662367,0.598348110843497,0.25278304798052625,0.22474790242918985,1.3946135268619497
IM_net_buy_qty,< 0,0,0,0,,,,,,
IM_net_buy_qty,top quartile,74,43,31,0.581081081081081,0.4674007862451828,0.686758429392728,0.3239706254650347,0.5399766410679518,1.596666880799995
IM_net_buy_qty,bottom quartile,119,70,49,0.5882352941176471,0.4983993017742346,0.6725525581820018,0.3521611641019513,0.3823693681486606,1.4292271120862317
IM_net_sell_qty,> 0,119,70,49,0.5882352941176471,0.4983993017742346,0.6725525581820018,0.3521611641019513,0.3823693681486606,1.4292271120862317
IM_net_sell_qty,< 0,0,0,0,,,,,,
IM_net_sell_qty,top quartile,74,42,32,0.5675675675675675,0.4541253909309131,0.6743406221006791,0.20802126138180205,0.3420468716405889,1.3154921995797142
IM_net_sell_qty,bottom quartile,175,92,83,0.5257142857142857,0.4519757511662367,0.598348110843497,0.25278304798052625,0.22474790242918985,1.3946135268619497
all_products_long_oi_chg_sum,> 0,136,71,65,0.5220588235294118,0.4386593029604021,0.6042463846175433,0.18384451212135822,0.11899407722437694,1.4104534336577383
all_products_long_oi_chg_sum,< 0,158,91,67,0.5759493670886076,0.4979853861070987,0.6503077597836981,0.3869706220013898,0.3832927122004448,1.4070489022889263
all_products_long_oi_chg_sum,top quartile,74,42,32,0.5675675675675675,0.4541253909309131,0.6743406221006791,0.2431120679338606,0.32420470575136306,1.6009001307189283
all_products_long_oi_chg_sum,bottom quartile,74,46,28,0.6216216216216216,0.507712489269153,0.7235263341877133,0.4134584188782474,0.5546067892526763,1.4752404701701232
all_products_short_oi_chg_sum,> 0,131,68,63,0.5190839694656488,0.4342055182212027,0.6028750266551558,0.21430734268819732,0.15042110273175702,1.3917510935224513
all_products_short_oi_chg_sum,< 0,163,94,69,0.5766871165644172,0.499927593270457,0.6499151318053036,0.35625736216300885,0.384216056252229,1.42218405084455
all_products_short_oi_chg_sum,top quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.15690837533222696,0.2334019171498114,1.5282572806520995
all_products_short_oi_chg_sum,bottom quartile,74,45,29,0.6081081081081081,0.4941931053499984,0.7113525155005493,0.44506927195755863,0.5753862397513188,1.5269399881029257
all_products_net_oi_chg_sum,> 0,180,95,85,0.5277777777777778,0.45502894184771125,0.5993657109403411,0.2606792121746482,0.230410524157032,1.4803039973965855
all_products_net_oi_chg_sum,< 0,113,66,47,0.584070796460177,0.4918922725047336,0.6707210433005959,0.34121706940482244,0.31332001723261005,1.3010287532493336
all_products_net_oi_chg_sum,top quartile,74,43,31,0.581081081081081,0.4674007862451828,0.686758429392728,0.3505674673726889,0.5118251922682004,1.7206506524479606
all_products_net_oi_chg_sum,bottom quartile,74,40,34,0.5405405405405406,0.42781145210146765,0.6492681557174879,0.2580815623326218,0.21824938969239316,1.2897072669750085
