date,product,main_contract,main_contract_volume,main_contract_open_interest,close,settle,pre_settle
2025-04-30,IF,IF2506,42386,136357,3716.2,3724.0,3725.8
2025-04-30,IH,IH2506,26366,44590,2609.2,2612.0,2623.2
2025-04-30,IM,IM2506,108819,153214,5801.4,5814.0,5769.0
2025-05-06,IC,IC2506,43200,97319,5622.0,5619.4,5512.0
2025-05-06,IF,IF2506,47831,138953,3766.2,3765.8,3724.0
2025-05-06,IH,IH2506,25377,44285,2629.6,2629.0,2612.0
2025-05-06,IM,IM2506,107389,160100,5953.2,5947.8,5814.0
2025-05-07,IC,IC2506,54572,100287,5620.2,5609.6,5619.4
2025-05-07,IF,IF2506,56105,141994,3785.0,3778.2,3765.8
2025-05-07,IH,IH2506,29460,46351,2646.4,2643.0,2629.0
2025-05-07,IM,IM2506,158085,174521,5955.2,5945.0,5947.8
2025-05-08,IC,IC2506,43288,98379,5660.0,5660.8,5609.6
2025-05-08,IF,IF2506,58985,146021,3816.0,3815.8,3778.2
2025-05-08,IH,IH2506,31258,47278,2664.8,2665.0,2643.0
2025-05-08,IM,IM2506,125065,165679,6018.8,6015.6,5945.0
2025-05-09,IC,IC2506,44378,98899,5604.8,5605.2,5660.8
2025-05-09,IF,IF2506,39940,138820,3808.6,3806.0,3815.8
2025-05-09,IH,IH2506,17832,43172,2666.2,2666.2,2665.0
2025-05-09,IM,IM2506,124744,165673,5945.2,5944.0,6015.6
2025-05-12,IC,IC2506,52449,101404,5688.0,5673.2,5605.2
2025-05-12,IF,IF2506,61843,152926,3853.0,3849.6,3806.0
2025-05-12,IH,IH2506,31684,50672,2686.6,2685.4,2666.2
2025-05-12,IM,IM2506,134023,170704,6037.0,6022.2,5944.0
2025-05-13,IC,IC2506,49100,102084,5654.6,5654.4,5673.2
2025-05-13,IF,IF2506,45698,143968,3851.0,3851.4,3849.6
2025-05-13,IH,IH2506,21914,48431,2688.2,2688.0,2685.4
2025-05-13,IM,IM2506,132408,170058,5996.6,5997.0,6022.2
2025-05-14,IC,IC2506,72621,117024,5697.8,5685.4,5654.4
2025-05-14,IF,IF2506,81957,164602,3907.4,3901.8,3851.4
2025-05-14,IH,IH2506,48329,61472,2737.6,2733.4,2688.0
2025-05-14,IM,IM2506,189515,196475,6043.0,6026.0,5997.0
2025-05-15,IC,IC2506,58925,117015,5623.0,5615.8,5685.4
2025-05-15,IF,IF2506,59965,153318,3872.8,3871.4,3901.8
2025-05-15,IH,IH2506,36205,56219,2723.0,2722.6,2733.4
2025-05-15,IM,IM2506,155023,187025,5949.0,5943.0,6026.0
2025-05-16,IC,IC2506,47834,116190,5601.8,5610.0,5615.8
2025-05-16,IF,IF2506,55823,154933,3846.0,3846.4,3871.4
2025-05-16,IH,IH2506,35488,54791,2695.2,2693.4,2722.6
2025-05-16,IM,IM2506,131868,188635,5933.8,5948.8,5943.0
2025-05-19,IC,IC2506,51297,118428,5623.0,5618.2,5610.0
2025-05-19,IF,IF2506,48882,149439,3843.2,3841.2,3846.4
2025-05-19,IH,IH2506,27081,51445,2688.8,2687.4,2693.4
2025-05-19,IM,IM2506,140984,192261,5975.4,5966.6,5948.8
2025-05-20,IC,IC2506,45384,112947,5650.8,5648.2,5618.2
2025-05-20,IF,IF2506,52572,150105,3865.4,3864.6,3841.2
2025-05-20,IH,IH2506,27980,51766,2699.4,2700.2,2687.4
2025-05-20,IM,IM2506,124540,184920,6019.4,6011.6,5966.6
2025-05-21,IC,IC2506,39909,111497,5655.6,5654.4,5648.2
2025-05-21,IF,IF2506,56306,146414,3881.2,3881.6,3864.6
2025-05-21,IH,IH2506,27164,50924,2712.6,2712.8,2700.2
2025-05-21,IM,IM2506,111291,180860,6000.6,5998.6,6011.6
2025-05-22,IC,IC2506,53832,116140,5614.8,5615.4,5654.4
2025-05-22,IF,IF2506,52835,143884,3879.6,3880.4,3881.6
2025-05-22,IH,IH2506,28918,51342,2715.4,2715.2,2712.8
2025-05-22,IM,IM2506,148619,195203,5950.0,5949.2,5998.6
2025-05-23,IC,IC2506,67871,118330,5561.8,5576.4,5615.4
2025-05-23,IF,IF2506,78281,152612,3846.2,3854.6,3880.4
2025-05-23,IH,IH2506,39517,56417,2693.0,2696.8,2715.2
2025-05-23,IM,IM2506,167101,194014,5872.0,5896.2,5949.2
2025-05-26,IC,IC2506,56454,110791,5594.6,5591.6,5576.4
2025-05-26,IF,IF2506,62863,138782,3831.2,3828.6,3854.6
2025-05-26,IH,IH2506,34244,51685,2684.4,2682.4,2696.8
2025-05-26,IM,IM2506,133893,181503,5925.0,5921.2,5896.2
2025-05-27,IC,IC2506,52001,109673,5578.0,5582.6,5591.6
2025-05-27,IF,IF2506,54529,140116,3809.2,3812.8,3828.6
2025-05-27,IH,IH2506,28167,51671,2668.6,2671.0,2682.4
2025-05-27,IM,IM2506,140778,186517,5915.0,5918.0,5921.2
2025-05-28,IC,IC2506,42102,104395,5568.0,5563.6,5582.6
2025-05-28,IF,IF2506,45973,129593,3805.0,3806.8,3812.8
2025-05-28,IH,IH2506,21699,47109,2665.4,2667.0,2671.0
2025-05-28,IM,IM2506,120232,175258,5899.0,5892.6,5918.0
2025-05-29,IC,IC2506,68773,112167,5668.6,5662.4,5563.6
2025-05-29,IF,IF2506,70602,136268,3832.8,3835.4,3806.8
2025-05-29,IH,IH2506,37631,54235,2673.6,2676.0,2667.0
2025-05-29,IM,IM2506,166397,187832,6031.0,6019.0,5892.6
2025-05-30,IC,IC2506,53557,101945,5627.8,5619.8,5662.4
2025-05-30,IF,IF2506,63806,122449,3822.4,3820.6,3835.4
2025-05-30,IH,IH2506,36536,49121,2667.2,2667.2,2676.0
2025-05-30,IM,IM2506,130165,168201,5966.0,5957.4,6019.0
2025-06-03,IC,IC2506,46453,104981,5638.4,5646.0,5619.8
2025-06-03,IF,IF2506,52960,123878,3824.8,3826.8,3820.6
2025-06-03,IH,IH2506,29234,49619,2668.6,2669.4,2667.2
2025-06-03,IM,IM2506,112727,169461,5998.0,6004.8,5957.4
2025-06-04,IC,IC2506,38714,98287,5688.8,5688.8,5646.0
2025-06-04,IF,IF2506,47487,116411,3842.4,3843.8,3826.8
2025-06-04,IH,IH2506,22289,47017,2673.6,2674.4,2669.4
2025-06-04,IM,IM2506,100779,161713,6054.0,6051.8,6004.8
2025-06-05,IC,IC2506,43186,100210,5723.6,5726.4,5688.8
2025-06-05,IF,IF2506,49359,116859,3852.0,3856.0,3843.8
2025-06-05,IH,IH2506,26100,47574,2674.0,2676.0,2674.4
2025-06-05,IM,IM2506,118336,166975,6101.6,6100.8,6051.8
2025-06-06,IC,IC2506,34070,94713,5725.4,5720.6,5726.4
2025-06-06,IF,IF2506,43521,110984,3855.4,3853.8,3856.0
2025-06-06,IH,IH2506,23950,44741,2673.6,2672.8,2676.0
2025-06-06,IM,IM2506,88977,154557,6100.2,6094.2,6100.8
2025-06-09,IC,IC2506,46713,99590,5766.4,5768.8,5720.6
2025-06-09,IF,IF2506,57026,119577,3867.8,3867.8,3853.8
2025-06-09,IH,IH2506,30458,47436,2676.6,2674.2,2672.8
2025-06-09,IM,IM2506,105988,156512,6167.8,6169.0,6094.2
2025-06-10,IC,IC2506,52147,93852,5718.2,5718.4,5768.8
2025-06-10,IF,IF2506,64495,112083,3841.0,3844.4,3867.8
2025-06-10,IH,IH2506,38481,46099,2660.0,2661.4,2674.2
2025-06-10,IM,IM2506,132573,158926,6113.8,6105.6,6169.0
2025-06-11,IC,IC2506,47295,89802,5761.2,5768.0,5718.4
2025-06-11,IF,IF2506,69002,115340,3878.8,3881.4,3844.4
2025-06-11,IH,IH2506,35407,44558,2682.4,2681.6,2661.4
2025-06-11,IM,IM2506,112327,144803,6144.0,6152.0,6105.6
2025-06-12,IC,IC2506,40513,84586,5780.0,5777.0,5768.0
2025-06-12,IF,IF2506,51953,102508,3883.6,3881.6,3881.4
2025-06-12,IH,IH2506,30227,42917,2682.2,2682.2,2681.6
2025-06-12,IM,IM2506,99982,142864,6156.8,6152.8,6152.0
2025-06-13,IC,IC2506,53130,81891,5729.0,5729.8,5777.0
2025-06-13,IF,IF2506,60941,104348,3856.4,3855.2,3881.6
2025-06-13,IH,IH2506,32980,44411,2665.2,2665.6,2682.2
2025-06-13,IM,IM2506,119917,141736,6084.2,6083.6,6152.8
2025-06-16,IC,IC2506,47548,69823,5756.2,5760.2,5729.8
2025-06-16,IF,IF2506,57349,83317,3869.8,3869.0,3855.2
2025-06-16,IH,IH2506,29457,39603,2678.4,2678.2,2665.6
2025-06-16,IM,IM2506,96721,124057,6127.4,6128.8,6083.6
2025-06-17,IC,IC2506,45830,60777,5748.4,5736.4,5760.2
2025-06-17,IF,IF2506,53299,71388,3868.6,3863.4,3869.0
2025-06-17,IH,IH2506,28286,32008,2680.8,2677.2,2678.2
2025-06-17,IM,IM2506,97198,112030,6130.0,6118.0,6128.8
2025-06-18,IC,IC2506,43253,49346,5738.0,5736.8,5736.4
2025-06-18,IF,IF2506,52365,55637,3872.2,3871.2,3863.4
2025-06-18,IH,IH2506,23851,26177,2677.4,2676.0,2677.2
2025-06-18,IM,IM2506,87763,88005,6124.2,6121.2,6118.0
2025-06-19,IC,IC2506,40032,35618,5677.8,5669.6,5736.8
2025-06-19,IF,IF2506,43781,37486,3840.4,3837.4,3871.2
2025-06-19,IH,IH2506,21216,17340,2659.2,2658.8,2676.0
2025-06-19,IM,IM2506,81581,56583,6050.4,6046.6,6121.2
2025-06-20,IC,IC2507,37576,73087,5588.4,5590.2,5604.2
2025-06-20,IF,IF2509,35051,119027,3773.6,3771.6,3762.0
2025-06-20,IH,IH2509,21677,42653,2635.4,2633.4,2617.2
2025-06-20,IM,IM2509,84705,146127,5787.8,5792.8,5800.4
2025-06-23,IC,IC2507,36618,74146,5625.8,5630.6,5590.2
2025-06-23,IF,IF2509,47208,128778,3797.4,3799.8,3771.6
2025-06-23,IH,IH2509,28646,49768,2652.8,2655.0,2633.4
2025-06-23,IM,IM2509,99867,153037,5851.2,5856.2,5792.8
2025-06-24,IC,IC2507,44444,77007,5726.4,5719.8,5630.6
2025-06-24,IF,IF2509,57535,133116,3852.4,3848.6,3799.8
2025-06-24,IH,IH2509,34596,50754,2682.0,2680.0,2655.0
2025-06-24,IM,IM2509,120129,156132,5995.0,5988.6,5856.2
2025-06-25,IC,IC2507,50210,81182,5834.2,5826.0,5719.8
2025-06-25,IF,IF2509,61056,139245,3922.8,3913.2,3848.6
2025-06-25,IH,IH2509,33258,52779,2722.6,2715.4,2680.0
2025-06-25,IM,IM2509,139775,170051,6119.6,6101.4,5988.6
2025-06-26,IC,IC2507,34054,76012,5809.2,5813.4,5826.0
2025-06-26,IF,IF2509,43176,135683,3904.2,3905.6,3913.2
2025-06-26,IH,IH2509,21991,48436,2711.0,2711.8,2715.4
2025-06-26,IM,IM2509,106191,161694,6097.8,6104.8,6101.4
2025-06-27,IC,IC2507,36609,77537,5827.0,5829.8,5813.4
2025-06-27,IF,IF2509,56221,139367,3876.6,3878.2,3905.6
2025-06-27,IH,IH2509,32852,53070,2680.0,2681.8,2711.8
2025-06-27,IM,IM2509,113010,167757,6110.8,6118.8,6104.8
2025-06-30,IC,IC2507,32984,73467,5863.0,5867.4,5829.8
2025-06-30,IF,IF2509,40077,135428,3885.8,3887.0,3878.2
2025-06-30,IH,IH2509,22994,49133,2689.0,2687.6,2681.8
2025-06-30,IM,IM2509,94541,158728,6148.6,6155.6,6118.8
2025-07-01,IC,IC2507,31394,70063,5868.0,5872.0,5867.4
2025-07-01,IF,IF2509,34558,132977,3886.0,3889.4,3887.0
2025-07-01,IH,IH2509,17755,48099,2689.8,2692.6,2687.6
2025-07-01,IM,IM2509,103226,164955,6133.4,6134.0,6155.6
2025-07-02,IC,IC2507,30107,69955,5856.6,5849.6,5872.0
2025-07-02,IF,IF2509,35301,133038,3894.2,3891.8,3889.4
2025-07-02,IH,IH2509,20389,47699,2696.8,2696.8,2692.6
2025-07-02,IM,IM2509,93428,159237,6117.0,6107.4,6134.0
2025-07-03,IC,IC2507,27703,69802,5874.0,5874.6,5849.6
2025-07-03,IF,IF2509,38088,132375,3918.0,3917.8,3891.8
2025-07-03,IH,IH2509,19650,46778,2701.8,2700.4,2696.8
2025-07-03,IM,IM2509,95917,161580,6135.8,6138.6,6107.4
2025-07-04,IC,IC2507,43750,76622,5874.2,5870.0,5874.6
2025-07-04,IF,IF2509,66892,146863,3936.0,3930.0,3917.8
2025-07-04,IH,IH2509,39517,56007,2717.2,2711.2,2700.4
2025-07-04,IM,IM2509,151899,177599,6112.2,6107.2,6138.6
2025-07-07,IC,IC2507,23473,68547,5859.2,5862.8,5870.0
2025-07-07,IF,IF2509,35769,135826,3918.0,3919.4,3930.0
2025-07-07,IH,IH2509,19180,49584,2708.0,2709.0,2711.2
2025-07-07,IM,IM2509,80166,160866,6111.6,6112.8,6107.2
2025-07-08,IC,IC2507,39009,72555,5958.0,5952.6,5862.8
2025-07-08,IF,IF2509,50571,142398,3958.6,3959.2,3919.4
2025-07-08,IH,IH2509,28303,51681,2727.8,2728.8,2709.0
2025-07-08,IM,IM2509,128815,176309,6235.8,6226.2,6112.8
2025-07-09,IC,IC2507,29791,65998,5930.0,5937.2,5952.6
2025-07-09,IF,IF2509,43451,137184,3952.8,3957.0,3959.2
2025-07-09,IH,IH2509,24948,49980,2724.0,2727.0,2728.8
2025-07-09,IM,IM2509,94223,161900,6214.0,6219.8,6226.2
2025-07-10,IC,IC2507,31023,65381,5958.8,5968.0,5937.2
2025-07-10,IF,IF2509,51019,144324,3972.0,3981.8,3957.0
2025-07-10,IH,IH2509,33722,56981,2740.4,2749.2,2727.0
2025-07-10,IM,IM2509,98260,169266,6231.6,6241.8,6219.8
2025-07-11,IC,IC2507,48478,65777,6023.0,6026.4,5968.0
2025-07-11,IF,IF2509,84781,158393,3993.4,3998.8,3981.8
2025-07-11,IH,IH2509,52171,64210,2751.6,2761.2,2749.2
2025-07-11,IM,IM2509,147131,181506,6319.8,6321.2,6241.8
2025-07-14,IC,IC2507,28123,52714,6008.4,6015.6,6026.4
2025-07-14,IF,IF2509,37589,150188,3985.8,3990.2,3998.8
2025-07-14,IH,IH2509,21777,56656,2747.4,2751.8,2761.2
2025-07-14,IM,IM2509,71184,168013,6302.2,6312.0,6321.2
2025-07-15,IC,IC2507,39182,47615,6008.2,6004.0,6015.6
2025-07-15,IF,IF2509,62583,152828,3980.6,3981.4,3990.2
2025-07-15,IH,IH2509,34281,58202,2734.2,2735.8,2751.8
2025-07-15,IM,IM2509,120268,181672,6277.4,6274.8,6312.0
2025-07-16,IC,IC2509,37648,98197,5895.2,5899.6,5892.8
2025-07-16,IF,IF2509,45629,147324,3971.0,3974.8,3981.4
2025-07-16,IH,IH2509,25504,54913,2730.4,2730.8,2735.8
2025-07-16,IM,IM2509,113703,172288,6298.0,6300.8,6274.8
2025-07-17,IC,IC2509,38304,102295,5978.0,5972.4,5899.6
2025-07-17,IF,IF2509,49872,153281,4011.8,4005.4,3974.8
2025-07-17,IH,IH2509,26576,57361,2741.4,2738.2,2730.8
2025-07-17,IM,IM2509,109376,177468,6390.4,6383.6,6300.8
2025-07-18,IC,IC2509,41183,104430,6000.8,5993.2,5972.4
2025-07-18,IF,IF2509,59958,157186,4041.8,4035.2,4005.4
2025-07-18,IH,IH2509,35272,61598,2767.0,2763.2,2738.2
2025-07-18,IM,IM2509,104691,175267,6413.6,6403.8,6383.6
2025-07-21,IC,IC2509,42464,106804,6055.6,6059.8,5993.2
2025-07-21,IF,IF2509,49413,152831,4064.8,4064.4,4035.2
2025-07-21,IH,IH2509,27071,59730,2771.2,2771.8,2763.2
2025-07-21,IM,IM2509,106976,178934,6463.2,6472.6,6403.8
2025-07-22,IC,IC2509,49010,108997,6129.4,6111.8,6059.8
2025-07-22,IF,IF2509,69503,162828,4109.8,4096.6,4064.4
2025-07-22,IH,IH2509,37371,65052,2796.8,2789.4,2771.8
2025-07-22,IM,IM2509,118700,178632,6515.4,6495.8,6472.6
2025-07-23,IC,IC2509,54336,109396,6120.0,6120.8,6111.8
2025-07-23,IF,IF2509,76014,161682,4109.2,4109.8,4096.6
2025-07-23,IH,IH2509,42398,63695,2802.8,2802.6,2789.4
2025-07-23,IM,IM2509,131364,182055,6500.0,6499.2,6495.8
2025-07-24,IC,IC2509,49292,109680,6226.0,6217.8,6120.8
2025-07-24,IF,IF2509,65298,163125,4141.2,4136.8,4109.8
2025-07-24,IH,IH2509,34309,63790,2816.6,2813.8,2802.6
2025-07-24,IM,IM2509,124051,181457,6618.6,6603.6,6499.2
2025-07-25,IC,IC2509,39078,106883,6216.0,6216.2,6217.8
2025-07-25,IF,IF2509,53170,155404,4116.0,4115.6,4136.8
2025-07-25,IH,IH2509,30341,61165,2796.8,2795.8,2813.8
2025-07-25,IM,IM2509,98231,172911,6605.8,6604.4,6603.6
2025-07-28,IC,IC2509,46353,108139,6222.0,6221.8,6216.2
2025-07-28,IF,IF2509,54638,156735,4122.0,4119.0,4115.6
2025-07-28,IH,IH2509,28883,60762,2805.8,2803.2,2795.8
2025-07-28,IM,IM2509,116079,180433,6602.0,6605.0,6604.4
2025-07-29,IC,IC2509,46670,105314,6263.0,6241.6,6221.8
2025-07-29,IF,IF2509,58516,153577,4141.4,4134.6,4119.0
2025-07-29,IH,IH2509,30546,60354,2814.0,2812.2,2803.2
2025-07-29,IM,IM2509,116403,174556,6662.0,6633.0,6605.0
2025-07-30,IC,IC2509,58280,108507,6215.4,6209.8,6241.6
2025-07-30,IF,IF2509,81931,162604,4136.4,4130.2,4134.6
2025-07-30,IH,IH2509,46511,64619,2820.0,2817.6,2812.2
2025-07-30,IM,IM2509,144840,185002,6604.2,6596.2,6633.0
2025-07-31,IC,IC2509,65759,107159,6124.0,6112.2,6209.8
2025-07-31,IF,IF2509,91447,157602,4057.0,4050.8,4130.2
2025-07-31,IH,IH2509,48789,62558,2777.0,2772.0,2817.6
2025-07-31,IM,IM2509,167548,183162,6538.0,6526.6,6596.2
2025-08-01,IC,IC2509,49203,103426,6104.0,6109.8,6112.2
2025-08-01,IF,IF2509,56881,151416,4029.6,4031.8,4050.8
2025-08-01,IH,IH2509,32117,60001,2754.4,2755.4,2772.0
2025-08-01,IM,IM2509,133160,176823,6542.8,6549.8,6526.6
2025-08-04,IC,IC2509,42885,102178,6169.0,6157.8,6109.8
2025-08-04,IF,IF2509,44736,146808,4052.8,4048.0,4031.8
2025-08-04,IH,IH2509,24294,56661,2770.4,2768.0,2755.4
2025-08-04,IM,IM2509,119420,177500,6642.6,6622.6,6549.8
2025-08-05,IC,IC2509,34079,100647,6198.6,6195.6,6157.8
2025-08-05,IF,IF2509,45420,147312,4082.0,4081.8,4048.0
2025-08-05,IH,IH2509,25627,57065,2791.0,2790.8,2768.0
2025-08-05,IM,IM2509,95602,172540,6682.0,6673.2,6622.6
2025-08-06,IC,IC2509,37260,103512,6263.2,6266.2,6195.6
2025-08-06,IF,IF2509,42038,144956,4097.0,4098.6,4081.8
2025-08-06,IH,IH2509,23697,55640,2796.2,2798.2,2790.8
2025-08-06,IM,IM2509,106338,178409,6762.6,6770.4,6673.2
2025-08-07,IC,IC2509,48504,106065,6226.4,6226.6,6266.2
2025-08-07,IF,IF2509,54603,149221,4092.6,4093.0,4098.6
2025-08-07,IH,IH2509,29486,56447,2797.8,2797.6,2798.2
2025-08-07,IM,IM2509,119420,179795,6750.0,6748.8,6770.4
2025-08-08,IC,IC2509,37017,101969,6227.0,6232.0,6226.6
2025-08-08,IF,IF2509,42805,142247,4083.2,4087.4,4093.0
2025-08-08,IH,IH2509,25210,54184,2785.4,2789.2,2797.6
2025-08-08,IM,IM2509,98835,173187,6735.0,6742.8,6748.8
2025-08-11,IC,IC2509,48225,108767,6298.8,6309.6,6232.0
2025-08-11,IF,IF2509,60577,151777,4104.8,4110.2,4087.4
2025-08-11,IH,IH2509,30720,59127,2789.4,2792.6,2789.2
2025-08-11,IM,IM2509,124872,189312,6851.2,6862.4,6742.8
2025-08-12,IC,IC2509,42560,106131,6342.6,6338.8,6309.6
2025-08-12,IF,IF2509,61270,149241,4131.2,4128.6,4110.2
2025-08-12,IH,IH2509,36458,59544,2809.6,2809.0,2792.6
2025-08-12,IM,IM2509,104433,182508,6883.6,6879.8,6862.4
2025-08-13,IC,IC2509,57282,118359,6451.8,6444.4,6338.8
2025-08-13,IF,IF2509,74450,160310,4170.8,4164.6,4128.6
2025-08-13,IH,IH2509,41254,64688,2818.8,2816.0,2809.0
2025-08-13,IM,IM2509,138415,204738,7001.8,6995.4,6879.8
2025-08-14,IC,IC2509,65643,119381,6380.2,6396.2,6444.4
2025-08-14,IF,IF2509,93677,167999,4163.8,4176.0,4164.6
2025-08-14,IH,IH2509,57784,71741,2829.6,2836.8,2816.0
2025-08-14,IM,IM2509,159795,203734,6929.2,6936.2,6995.4
2025-08-15,IC,IC2509,77380,133486,6531.0,6524.4,6396.2
2025-08-15,IF,IF2509,90646,166989,4209.4,4203.2,4176.0
2025-08-15,IH,IH2509,52795,71335,2846.4,2846.2,2836.8
2025-08-15,IM,IM2509,163237,218372,7086.2,7072.6,6936.2
2025-08-18,IC,IC2509,83689,129184,6608.0,6608.4,6524.4
2025-08-18,IF,IF2509,99705,168841,4237.8,4237.4,4203.2
2025-08-18,IH,IH2509,52884,74907,2848.4,2849.2,2846.2
2025-08-18,IM,IM2509,187694,220587,7184.4,7179.8,7072.6
2025-08-19,IC,IC2509,64150,123458,6600.0,6602.8,6608.4
2025-08-19,IF,IF2509,73558,154897,4216.2,4221.0,4237.4
2025-08-19,IH,IH2509,42683,69286,2815.4,2820.8,2849.2
2025-08-19,IM,IM2509,152295,209342,7177.4,7187.4,7179.8
2025-08-20,IC,IC2509,77339,127360,6695.2,6660.4,6602.8
2025-08-20,IF,IF2509,90137,159194,4270.0,4254.0,4221.0
2025-08-20,IH,IH2509,45450,72434,2851.2,2841.4,2820.8
2025-08-20,IM,IM2509,196109,217300,7276.0,7233.6,7187.4
2025-08-21,IC,IC2509,75992,121846,6656.4,6644.0,6660.4
2025-08-21,IF,IF2509,83303,151396,4282.2,4277.8,4254.0
2025-08-21,IH,IH2509,42132,68095,2865.4,2862.0,2841.4
2025-08-21,IM,IM2509,190536,206583,7202.2,7187.2,7233.6
2025-08-22,IC,IC2509,81929,124020,6810.4,6787.2,6644.0
2025-08-22,IF,IF2509,94570,161198,4394.0,4374.4,4277.8
2025-08-22,IH,IH2509,51918,76176,2942.0,2929.4,2862.0
2025-08-22,IM,IM2509,186931,207428,7348.6,7319.6,7187.2
2025-08-25,IC,IC2509,93555,127766,6909.6,6904.0,6787.2
2025-08-25,IF,IF2509,118828,165246,4474.6,4458.4,4374.4
2025-08-25,IH,IH2509,61498,78193,2992.0,2983.6,2929.4
2025-08-25,IM,IM2509,202867,207228,7412.2,7423.0,7319.6
2025-08-26,IC,IC2509,75616,117469,6916.4,6942.4,6904.0
2025-08-26,IF,IF2509,87160,151718,4449.0,4460.2,4458.4
2025-08-26,IH,IH2509,41497,70566,2970.8,2975.0,2983.6
2025-08-26,IM,IM2509,160158,195804,7415.4,7442.0,7423.0
2025-08-27,IC,IC2509,109151,130217,6837.8,6897.6,6942.4
2025-08-27,IF,IF2509,113283,155760,4384.0,4416.0,4460.2
