代码	名称	板块	收盘	MA5	MA10	MA20	MA60	5日%	20日%	MACD	K/D	量比	阶段	评分
sz301047	义翘神州	GZGG	114.07	105.68	101.17	101.24	90.38	23.25	-3.98	gold_today	72.4/59.8	1.24	横盘整理	73.0
sh601998	中信银行	GZGG	8.96	8.94	8.91	8.82	7.95	0.45	6.79	dead	67.3/69.5	1.04	横盘整理	73.0
sz002886	沃特股份	AIYJ	26.40	26.33	26.04	25.76	22.37	4.85	24.29	dead	56.1/49.4	0.82	横盘整理	72.0
sz002975	博杰股份	AIYJ	104.86	102.72	101.64	102.42	101.19	8.1	4.29	gold	62.1/53.8	0.97	横盘整理	72.0
sz000636	风华高科	AIYJ	58.20	57.97	54.67	53.35	55.50	3.95	6.46	gold	74.5/66.4	0.84	横盘整理	72.0
sh688202	美迪西	GZGG	106.20	101.79	97.47	97.35	89.91	18.87	5.7	gold	81.0/68.1	1.01	横盘整理	72.0
sz300725	药石科技	GZGG	47.22	45.55	44.17	44.91	42.84	14.83	-8.24	gold_today	75.2/62.2	1.20	横盘整理	71.0
sh688167	炬光科技	AIYJ	311.62	295.62	300.06	291.16	261.65	8.73	10.87	dead	61.5/54.7	0.91	横盘整理	69.0
sz300408	三环集团	AIYJ	130.96	128.18	123.08	116.68	120.89	5.31	14.98	gold	87.8/81.0	0.88	突破/攻击	69.0
sh600522	中天科技	AIYJ	35.98	35.20	34.31	34.08	36.54	4.32	7.63	gold	81.5/72.6	1.15	弱势/下降通道	69.0
sh688131	皓元医药	GZGG	98.79	93.30	92.20	92.85	88.43	13.19	1.44	gold_today	68.6/53.9	1.53	横盘整理	69.0
sh688048	长光华芯	AIYJ	342.00	319.16	312.37	299.67	327.02	15.66	11.32	gold	77.0/66.7	1.11	横盘整理	68.0
sh600487	亨通光电	AIYJ	69.49	65.80	65.19	65.54	66.01	6.51	11.76	gold	65.8/52.1	1.33	横盘整理	68.0
sz300499	高澜股份	AIYJ	37.72	37.74	36.68	34.15	31.95	8.08	33.47	gold	79.6/79.6	0.91	横盘整理	67.0
sh688256	寒武纪	AIYJ	1113.14	1094.19	1076.11	1067.82	1182.01	7.03	7.55	gold	66.3/57.2	1.13	弱势/下降通道	66.0
sh600330	天通股份	AIYJ	29.37	29.83	29.33	28.35	24.73	6.88	7.7	dead_today	70.4/67.9	0.88	横盘整理	65.0
sh601869	长飞光纤	AIYJ	454.99	460.94	447.38	424.17	391.31	-4.01	25.13	gold	80.0/79.5	1.05	上升趋势中回踩	65.0
sh688195	腾景科技	AIYJ	199.48	187.01	194.22	188.78	160.35	2.36	15.98	dead	38.1/37.7	1.10	横盘整理	65.0
sh600641	先导基电	AIYJ	37.30	34.15	32.21	32.32	33.83	27.26	14.59	gold	80.8/63.6	1.44	横盘整理	65.0
sh603186	华正新材	AIYJ	226.78	238.21	222.77	199.72	172.37	-0.42	31.57	gold	69.8/77.5	1.08	上升趋势中回踩	64.0
sz002008	大族激光	AIYJ	99.60	95.17	94.78	92.36	101.84	7.27	9.57	gold	72.8/65.5	1.45	弱势/下降通道	64.0
sh688205	德科立	AIYJ	219.85	215.41	217.25	193.95	165.68	0.44	37.96	gold	58.7/66.6	0.80	横盘整理	63.0
sz002142	宁波银行	GZGG	34.65	34.89	34.93	34.50	32.66	-2.39	1.73	dead	46.4/58.3	0.78	上升趋势中回踩	63.0
sz300759	康龙化成	AIYJ+GZGG	43.30	43.04	42.27	42.96	40.32	7.5	-9.75	dead	71.4/59.0	1.04	横盘整理	61.0
sh688710	益诺思	GZGG	94.92	89.39	86.04	86.23	81.31	14.42	-0.35	gold	85.5/73.5	1.23	横盘整理	61.0
sh688361	中科飞测	AIYJ	386.36	339.37	324.92	335.47	351.87	26.81	10.56	gold	71.4/52.0	1.28	横盘整理	60.0
sz301128	强瑞技术	AIYJ	123.95	116.85	115.90	116.21	117.72	16.0	13.22	gold	65.5/49.4	1.07	横盘整理	60.0
sh600546	山煤国际	GZGG	13.39	13.20	13.30	13.46	12.81	0.68	1.36	dead	37.6/34.8	1.12	中期回调	60.0
bj920045	蘅东光	AIYJ	570.99	574.64	560.76	520.87	415.39	-2.09	42.22	gold	65.8/69.1	1.16	上升趋势中回踩	59.0
sh600176	中国巨石	AIYJ	45.02	46.39	44.58	43.24	46.25	0.81	7.09	gold	60.1/65.8	1.24	弱势/下降通道	59.0
sh688800	瑞可达	AIYJ	69.32	67.87	67.30	64.97	65.43	3.73	9.06	gold	73.4/69.1	1.08	横盘整理	59.0
sz002837	英维克	AIYJ	63.28	61.38	61.84	62.93	61.74	4.51	16.93	dead	40.4/30.5	1.24	横盘整理	59.0
sz301200	大族数控	AIYJ	271.17	261.94	262.50	265.63	280.25	4.61	-3.84	gold_today	57.6/45.2	1.54	弱势/下降通道	59.0
sh603259	药明康德	AIYJ+GZGG	160.00	158.75	156.40	156.65	143.04	5.79	-1.76	dead	70.4/63.1	1.06	横盘整理	59.0
sh601658	邮储银行	GZGG	5.33	5.39	5.41	5.32	5.12	-2.38	7.03	dead	26.1/41.4	0.96	上升趋势中回踩	59.0
sh688668	鼎通科技	AIYJ	269.60	257.47	258.53	257.20	265.21	9.01	7.08	gold	61.5/51.5	1.13	横盘整理	58.0
sz002080	中材科技	AIYJ	60.22	56.27	53.43	51.99	57.66	16.89	11.7	gold	76.6/70.9	1.42	横盘整理	58.0
sh601169	北京银行	GZGG	5.54	5.60	5.58	5.45	5.18	-0.89	8.84	dead_today	53.0/68.3	0.85	上升趋势中回踩	57.0
sz300395	菲利华	AIYJ	93.38	95.86	96.29	93.20	92.89	-2.82	6.13	gold	42.8/54.4	1.27	上升趋势中回踩	56.0
sz300088	长信科技	AIYJ	7.23	7.10	7.05	7.01	7.57	4.93	-1.09	gold	67.6/56.6	0.97	突破/攻击	56.0
sz301511	德福科技	AIYJ	110.50	110.06	107.36	97.52	97.96	3.85	21.91	gold	70.8/76.0	0.96	横盘整理	55.0
sz301591	肯特股份	AIYJ	44.43	44.51	45.33	46.82	37.54	2.28	17.6	dead	33.5/30.9	0.76	中期回调	55.0
sz300757	罗博特科	AIYJ	620.60	611.00	624.19	586.11	514.46	-1.49	22.99	dead	43.8/55.6	1.08	上升趋势中回踩	55.0
sh600926	杭州银行	GZGG	17.14	17.31	17.33	17.11	16.24	-2.11	3.07	dead	40.6/58.5	0.67	上升趋势中回踩	55.0
sh603256	宏和科技	AIYJ	148.79	141.23	134.39	135.10	160.01	14.63	5.97	gold	76.7/62.2	1.07	弱势/下降通道	54.0
sh600183	生益科技	AIYJ	143.93	148.14	147.87	143.70	138.74	-3.03	8.38	dead_today	50.6/59.9	1.17	上升趋势中回踩	54.0
sz300285	国瓷材料	AIYJ	67.16	66.79	64.00	64.55	68.92	6.99	-1.03	gold	72.8/61.3	0.77	弱势/下降通道	54.0
sz002463	沪电股份	AIYJ	123.50	125.26	125.76	122.12	122.52	-3.7	1.89	gold	58.6/67.5	1.32	上升趋势中回踩	54.0
sh603163	XD圣晖集	AIYJ	84.37	81.11	81.71	80.37	89.32	5.78	2.53	gold	36.8/34.5	1.21	弱势/下降通道	54.0
sh688146	中船特气	AIYJ	239.20	229.36	228.60	236.03	270.31	5.68	-9.08	gold	56.9/39.5	1.30	弱势/下降通道	54.0
sz300620	光库科技	AIYJ	297.41	291.75	293.12	293.81	284.02	2.73	-2.5	dead	54.0/45.7	1.45	横盘整理	53.0
sh603893	瑞芯微	AIYJ	190.04	181.51	183.91	185.09	195.32	5.4	5.22	gold_today	38.5/27.4	1.56	弱势/下降通道	53.0
sh603127	昭衍新药	GZGG	45.76	43.77	43.30	44.70	45.66	10.61	-7.12	gold_today	61.7/46.2	1.68	横盘整理	53.0
sh688300	联瑞新材	AIYJ	176.80	178.72	178.06	173.74	162.40	-1.06	21.67	dead	54.2/55.4	1.01	上升趋势中回踩	52.0
sz301217	铜冠铜箔	AIYJ	113.29	112.40	109.74	110.43	115.73	5.63	-1.32	gold	66.6/59.2	0.97	弱势/下降通道	52.0
sz300502	新易盛	AIYJ	445.00	418.39	417.42	407.81	453.94	5.2	0.68	gold	69.2/60.1	1.22	弱势/下降通道	52.0
sz002536	飞龙股份	AIYJ	53.64	53.61	54.79	54.61	48.58	0.64	14.2	dead	30.2/32.8	0.90	中期回调	52.0
sh515880	通信ETF国泰	AIYJ	7.04	6.77	6.76	6.66	7.58	4.3	3.99	gold	72.3/63.3	0.04	弱势/下降通道	52.0
sz301526	国际复材	AIYJ	31.18	31.61	30.03	29.61	33.63	1.6	-3.85	gold	63.9/60.9	0.96	弱势/下降通道	52.0
sh688617	惠泰医疗	GZGG	240.00	244.02	242.46	245.94	223.06	-1.17	-8.92	dead	46.0/45.0	0.84	中期回调	52.0
sz002428	云南锗业	AIYJ	93.50	92.31	91.35	93.21	92.60	5.73	-7.32	dead	60.5/50.2	0.96	横盘整理	51.0
sh688630	芯碁微装	AIYJ	439.83	423.70	415.59	412.90	418.85	9.33	2.39	gold	81.7/71.4	1.15	横盘整理	51.0
sz301205	联特科技	AIYJ	323.64	293.39	298.36	300.74	277.09	12.41	6.88	dead	56.9/40.1	1.39	横盘整理	51.0
sh603228	景旺电子	AIYJ	104.45	105.58	107.22	99.75	85.34	-6.53	10.13	dead_today	46.1/63.4	0.89	上升趋势中回踩	50.0
sh603929	亚翔集成	AIYJ	163.68	157.44	157.59	159.07	176.80	5.81	-1.98	gold	61.9/47.6	1.26	弱势/下降通道	50.0
sh688783	西安奕材	AIYJ	29.46	27.74	27.30	28.72	35.66	13.75	-6.3	gold	61.3/41.1	1.24	弱势/下降通道	50.0
sz301230	泓博医药	GZGG	35.21	31.38	30.75	31.16	32.53	24.5	-1.43	gold	61.9/48.9	2.14	横盘整理	50.0
sh600036	招商银行	GZGG	40.59	41.01	41.09	40.67	39.10	-1.84	4.34	dead	32.2/52.2	0.84	中期回调	50.0
sh600919	江苏银行	GZGG	12.17	12.25	12.32	12.23	11.75	-3.18	1.93	dead	30.1/44.9	0.92	中期回调	50.0
sz301377	鼎泰高科	AIYJ	408.89	400.87	397.37	396.97	426.08	4.76	-1.83	gold	66.6/57.0	0.92	弱势/下降通道	48.0
sz300308	中际旭创	AIYJ	926.43	893.45	899.31	872.26	977.45	0.05	-1.76	gold	68.2/64.2	1.21	弱势/下降通道	48.0
sh688627	精智达	AIYJ	503.00	475.28	475.26	476.73	506.31	10.74	3.76	gold	65.0/49.8	1.38	弱势/下降通道	48.0
sz002384	东山精密	AIYJ	196.15	189.92	191.08	190.69	206.92	0.89	-2.45	gold	61.1/54.1	1.20	弱势/下降通道	48.0
sh688008	澜起科技	AIYJ	202.53	193.85	194.53	197.04	219.14	5.51	0.99	gold	63.3/47.3	1.35	弱势/下降通道	48.0
sz300760	迈瑞医疗	GZGG	156.87	158.42	162.49	163.65	153.63	-3.6	1.57	dead	8.1/18.8	0.98	中期回调	48.0
sh601225	陕西煤业	GZGG	25.20	25.62	25.82	26.23	24.84	-3.26	-2.06	dead	20.5/28.4	1.01	中期回调	48.0
sh600941	中国移动	GZGG	96.63	97.28	97.48	98.31	95.27	-1.12	0.39	dead	14.2/21.4	1.13	中期回调	48.0
sh600028	中国石化	GZGG	5.16	5.23	5.38	5.40	5.13	-6.52	1.18	dead	18.1/30.9	0.94	中期回调	48.0
sz002948	青岛银行	GZGG	6.05	6.11	6.17	6.15	5.81	-3.04	1.68	dead	23.9/35.3	0.92	中期回调	48.0
sh601577	长沙银行	GZGG	9.79	9.87	9.95	9.84	9.42	-1.41	2.84	dead	26.1/42.4	0.87	中期回调	48.0
sz002050	三花智控	AIYJ	35.31	34.44	35.14	35.59	38.39	1.26	-3.81	gold_today	33.2/24.9	1.24	弱势/下降通道	47.0
sh600378	昊华科技	AIYJ	48.00	47.22	47.11	47.56	50.77	5.75	1.61	gold	61.1/47.6	1.10	弱势/下降通道	46.0
sh603738	泰晶科技	AIYJ	37.89	36.57	36.08	36.95	38.80	8.07	0.85	gold	72.3/57.1	1.15	弱势/下降通道	46.0
sz000657	中钨高新	AIYJ	61.76	61.22	60.44	61.89	66.04	5.54	-9.36	gold	65.5/54.0	0.89	弱势/下降通道	46.0
sz001309	德明利	AIYJ	413.09	396.98	403.63	407.35	505.48	2.57	-0.49	gold	40.5/32.8	1.26	弱势/下降通道	46.0
sh601133	柏诚股份	AIYJ	26.00	23.89	23.71	24.35	28.19	13.89	2.56	gold	61.8/41.7	1.98	弱势/下降通道	46.0
sh688126	沪硅产业	AIYJ	24.41	23.15	22.88	23.50	27.23	10.35	-0.89	gold	68.2/46.1	1.16	弱势/下降通道	46.0
sh688549	中巨芯	AIYJ	24.36	23.80	23.00	23.48	26.38	10.33	-10.44	gold	70.7/56.9	1.00	弱势/下降通道	46.0
sh601101	昊华能源	GZGG	12.92	13.01	13.30	13.66	12.38	-2.49	1.57	dead	10.5/15.4	0.91	中期回调	46.0
sh601318	中国平安	GZGG	53.37	53.77	54.75	55.56	53.16	-2.66	0.04	dead	9.3/15.3	1.20	中期回调	46.0
sz002851	麦格米特	AIYJ	126.80	121.55	124.90	124.43	130.85	0.88	-0.98	gold_today	35.6/32.0	1.20	弱势/下降通道	45.0
sh601088	中国神华	GZGG	46.23	46.80	46.85	47.29	44.96	-2.69	-0.39	dead	42.0/47.7	0.91	中期回调	44.0
sh601009	南京银行	GZGG	11.80	11.98	12.05	11.91	11.38	-3.59	0.17	dead	32.8/51.4	1.03	中期回调	44.0
sz000001	平安银行	GZGG	11.70	11.74	11.74	11.74	11.22	-0.34	2.54	dead	33.3/37.3	1.07	中期回调	44.0
sz301536	星宸科技	AIYJ	125.77	114.42	115.75	118.79	118.51	13.41	7.4	dead	48.1/29.4	1.65	横盘整理	41.0
sh688183	生益电子	AIYJ	121.20	123.17	125.47	121.88	114.81	-3.23	12.66	dead	32.1/42.3	0.97	中期回调	41.0
sz300489	光智科技	AIYJ	224.62	212.17	214.91	220.03	222.11	8.98	3.73	dead	41.1/30.7	1.36	横盘整理	41.0
sh601628	中国人寿	GZGG	37.80	37.62	37.90	38.19	38.32	-0.5	2.08	dead	25.7/25.4	1.34	弱势/下降通道	40.0
sz002938	鹏鼎控股	AIYJ	89.88	89.49	90.38	89.00	92.11	-2.99	0.76	gold	43.3/49.0	1.13	上升趋势中回踩	39.0
sh688578	艾力斯	GZGG	100.41	99.66	102.01	106.94	115.23	0.92	-13.81	dead	14.3/12.7	1.07	弱势/下降通道	39.0
sh600938	中国海油	GZGG	32.30	33.06	33.53	33.69	31.74	-4.75	-4.61	dead	24.0/34.9	0.83	中期回调	39.0
sz300298	三诺生物	GZGG	15.63	15.49	15.54	15.78	15.66	2.96	-2.62	dead	42.6/31.9	1.06	弱势/下降通道	37.0
sh688235	百济神州	GZGG	256.00	254.78	255.69	264.20	270.00	3.52	-11.5	dead	39.9/30.5	1.21	弱势/下降通道	37.0
sh688428	诺诚健华	GZGG	28.36	28.94	28.85	28.94	28.93	7.71	-4.19	dead	47.7/45.6	0.99	弱势/下降通道	33.0
sh688331	荣昌生物	GZGG	114.84	115.45	116.95	119.36	125.25	0.1	-8.49	dead	29.8/29.6	1.16	弱势/下降通道	33.0
sz300476	胜宏科技	AIYJ	227.05	226.27	228.63	233.68	251.44	-0.85	-10.52	gold_today	34.9/35.9	1.25	弱势/下降通道	31.0
sh688016	心脉医疗	GZGG	84.76	83.98	84.76	87.04	90.39	1.95	-8.33	dead	32.8/21.6	1.04	弱势/下降通道	31.0
sz002653	海思科	GZGG	63.54	63.28	63.85	65.17	67.43	1.52	-4.52	dead	23.2/24.7	1.00	弱势/下降通道	29.0
sh601857	中国石油	GZGG	10.56	10.83	11.03	11.12	10.59	-6.05	-5.71	dead	18.9/29.1	1.03	弱势/下降通道	25.0
sh601898	中煤能源	GZGG	13.86	14.17	14.51	14.83	13.98	-5.91	-3.08	dead	8.9/15.8	0.96	弱势/下降通道	25.0
sz300633	开立医疗	GZGG	19.00	18.83	19.58	19.57	19.59	-1.35	-8.17	dead	16.3/21.7	1.03	弱势/下降通道	25.0
sh600188	兖矿能源	GZGG	19.68	20.08	20.79	21.51	20.53	-7.95	-8.08	dead	9.4/15.9	1.06	弱势/下降通道	23.0
sh601336	新华保险	GZGG	58.18	57.82	58.78	59.71	61.28	-0.21	-1.04	dead	18.6/17.9	1.18	弱势/下降通道	23.0
sh601138	工业富联	AIYJ	62.71	61.74	63.32	62.94	63.37	-2.12	-0.21	dead	27.6/31.5	1.46	弱势/下降通道	21.0
sz002415	海康威视	AIYJ	32.94	32.79	33.30	34.19	34.90	-0.93	-4.24	dead	23.3/26.2	1.27	弱势/下降通道	21.0
sh688161	威高骨科	GZGG	21.34	21.13	21.73	21.86	21.82	-1.43	-3.35	dead	20.7/24.5	0.82	弱势/下降通道	19.0
sh688271	联影医疗	GZGG	101.00	101.43	103.04	104.36	108.07	-2.05	-4.72	dead	9.8/14.5	1.13	弱势/下降通道	19.0
sh601699	潞安环能	GZGG	15.19	15.46	15.81	16.40	15.71	-3.37	-8.99	dead	7.1/11.3	1.31	弱势/下降通道	17.0
