block,mkt,code,name,last_date,close,pct_chg,chg5,chg10,chg20,trend,ma5,ma10,ma20,ma60,vs_ma20,vs_ma60,ma20_slope,dif,dea,macd_bar,macd_cross5,bar_seq5,dif_above0,rsi6,rsi14,kdj_k,kdj_d,kdj_j,boll_pos,boll_up,boll_lo,vol_ratio,vol5_vs20,turnover,hi20,lo20,sup20,res20,hi60,lo60,from_hi60,range_pos60,limitups_20,pv_diverge,shrink_pullback,stale,ex_gaps_recent,w_bars,w_close,w_ma5,w_ma10,w_ma20,w_vs_ma10,w_vs_ma20,w_ma10_slope,w_trend,w_dif,w_macd_bar,w_macd_cross5,w_dif_above0,w_hi20,w_lo20,w_from_hi20,w_pos20,w_new_high20,w_sup,w_res,w_vol_prev8,w_vol_ratio_raw,w_partial,w_days,w_note,resonance,error
关注个股,SZ,300347,泰格医药,20260924,56.81,-2.89,-0.4,5.6,11.9,震荡,57.91,56.84,54.21,51.75,4.8,9.8,3.1,1.73,1.401,0.657,,"1.071,1.218,1.080,1.000,0.657",True,52.6,56.5,74.3,79.6,63.8,71.0,60.48,47.94,0.56,0.89,1.4,59.88,48.51,48.51,59.88,59.88,42.2,-5.1,83.0,0,False,False,False,20190701:-32.6%;20150520:-51.4%;20140507:-48.3%,698,56.81,53.37,52.85,48.21,7.5,17.8,5.7,周线多头,0.799,2.564,,True,59.39,35.57,-4.3,89.0,False,52.85,59.39,96494534.4,0.49,True,4,,周多日震(回踩确认),
关注个股,SZ,002821,凯莱英,20260924,178.3,-5.16,-4.3,4.7,4.5,震荡,186.03,181.78,174.27,168.91,2.3,5.6,2.7,5.118,4.254,1.727,,"3.470,4.144,3.868,3.471,1.727",True,43.7,52.3,71.6,77.2,60.4,60.0,193.64,154.9,0.89,0.95,2.55,194.32,155.75,155.75,194.32,200.0,142.43,-10.8,62.0,0,False,False,False,20220721:-29.0%;20170614:-49.9%,505,178.3,171.12,167.8,152.15,6.3,17.2,2.8,周线多头,16.034,2.046,,True,200.0,106.83,-10.8,77.0,False,167.8,200.0,58055648.5,0.56,True,4,,周多日震(回踩确认),
关注个股,SZ,301047,义翘神州,20260924,146.86,-2.09,35.8,53.0,38.7,强多头,132.9,117.13,106.98,95.13,37.3,54.4,5.4,9.766,4.648,10.235,金叉(5日前),"1.363,2.677,5.742,9.081,10.235",True,84.4,73.0,84.2,78.5,95.7,108.0,141.26,72.69,1.49,1.62,10.34,158.88,91.08,91.08,158.88,158.88,66.62,-7.6,87.0,0,False,False,False,20220330:-49.9%,261,146.86,109.47,104.0,84.56,41.2,73.7,20.3,周线多头,13.136,10.827,,True,139.49,58.05,5.3,109.0,True,104.0,139.49,44889257.9,1.27,True,4,,日周共振向上,
关注个股,SH,688621,阳光诺和,20260924,72.75,-3.34,0.6,4.5,11.1,震荡,74.17,72.91,71.01,63.46,2.5,14.6,3.2,2.534,2.529,0.01,,"0.193,0.371,0.363,0.384,0.010",True,49.9,58.3,64.1,72.7,46.7,65.0,76.67,65.34,0.56,0.92,1.6,78.78,62.51,62.51,78.78,78.78,47.73,-7.7,81.0,0,True,False,False,20230512:-30.2%,266,72.75,69.68,65.72,59.73,10.7,21.8,11.8,周线多头,2.842,4.082,,True,74.5,46.68,-2.3,94.0,False,65.72,74.5,16498865.5,0.75,True,4,,周多日震(回踩确认),
关注个股,SH,688222,成都先导,20260924,44.19,-3.98,17.3,41.3,31.0,强多头,44.01,38.95,35.55,33.79,24.3,30.8,7.0,2.849,1.44,2.818,,"1.415,2.424,2.786,3.060,2.818",True,71.6,68.4,84.9,81.1,92.5,91.0,46.05,25.04,1.09,1.66,5.76,47.58,29.6,29.6,47.58,47.58,25.85,-7.1,84.0,0,False,False,False,,331,44.19,35.79,34.29,32.15,28.9,37.4,5.4,周线多头,2.796,1.798,周金叉(2周前),True,41.78,24.7,5.8,114.0,True,34.29,41.78,102816669.1,1.34,True,4,,日周共振向上,
关注个股,SH,603259,药明康德,20260924,162.4,-3.3,1.2,5.1,1.5,多头,165.23,161.11,158.16,145.86,2.7,11.3,0.9,3.763,3.383,0.76,金叉(4日前),"-0.882,0.363,1.056,1.391,0.760",True,51.7,56.6,74.5,75.5,72.4,72.0,167.82,148.49,1.03,1.11,1.4,171.2,149.7,149.7,171.2,173.6,114.52,-6.5,81.0,0,False,False,False,20210608:-16.8%;20200604:-28.1%;20190702:-29.1%,429,162.4,156.97,151.52,130.32,7.2,24.6,10.5,周线多头,15.904,5.255,,True,173.6,88.32,-6.5,87.0,False,151.52,173.6,267847940.8,0.56,True,4,,日周共振向上,
关注个股,SH,688073,毕得医药,20260924,74.55,-7.69,15.2,27.3,18.7,强多头,74.27,67.68,64.23,60.78,16.1,22.6,3.5,3.131,1.359,3.543,金叉(5日前),"0.757,1.703,2.759,3.863,3.543",True,63.0,60.7,85.1,80.3,94.5,90.0,77.25,51.2,1.22,1.28,6.83,80.8,54.54,54.54,80.8,88.88,44.46,-16.1,68.0,0,False,False,False,20230525:-29.4%,201,74.55,63.68,62.92,56.8,18.5,31.2,8.8,周线多头,2.487,3.947,,True,88.88,43.21,-16.1,69.0,False,62.92,88.88,24843463.0,1.04,True,4,,日周共振向上,
关注个股,SH,603127,昭衍新药,20260924,46.39,-2.89,5.1,9.0,-3.6,震荡,46.56,44.72,44.57,46.14,4.1,0.5,-0.7,-0.087,-0.575,0.976,金叉(5日前),"0.131,0.546,0.714,1.008,0.976",False,58.2,52.8,70.4,66.5,78.3,75.0,48.18,40.95,1.34,1.4,6.67,51.51,40.4,40.4,51.51,55.68,37.28,-16.7,50.0,0,False,False,False,20230725:-29.0%;20220808:-29.0%;20210805:-28.6%,465,46.39,44.8,46.23,42.42,0.4,9.4,1.7,周线偏多,2.649,-0.239,周死叉(3周前),True,55.68,30.7,-16.7,63.0,False,46.23,55.68,210973349.1,0.81,True,4,,周多日震(回踩确认),
关注个股,SZ,300725,药石科技,20260924,52.08,-4.18,12.5,22.8,11.2,强多头,51.49,47.91,45.83,43.89,13.6,18.7,1.6,1.753,0.742,2.023,金叉(5日前),"0.282,0.898,1.643,2.129,2.023",True,68.0,62.8,83.8,80.1,91.1,92.0,53.21,38.44,1.38,1.42,13.94,55.55,40.4,40.4,55.55,57.35,34.8,-9.2,77.0,0,False,False,False,20210426:-23.1%;20190508:-24.8%;20180518:-33.4%,455,52.08,45.73,45.65,40.6,14.1,28.3,8.9,周线多头,2.653,2.093,,True,57.35,30.9,-9.2,80.0,False,45.65,57.35,117149513.4,1.02,True,4,,日周共振向上,
关注个股,SZ,300363,博腾股份,20260924,23.83,-5.62,8.0,13.8,18.0,多头,23.97,22.71,21.32,19.55,11.8,21.9,3.9,1.164,0.842,0.644,,"0.325,0.515,0.606,0.774,0.644",True,61.6,61.6,78.1,80.2,73.9,84.0,25.0,17.63,0.98,1.08,4.41,25.98,18.6,18.6,25.98,25.98,14.83,-8.3,81.0,0,False,False,False,20150929:-36.2%;20150326:-57.5%,631,23.83,21.3,20.19,17.87,18.0,33.4,10.5,周线多头,0.542,1.741,,True,24.48,13.24,-2.7,94.0,False,20.19,24.48,158713885.5,0.62,True,4,,日周共振向上,
关注个股,SZ,301230,泓博医药,20260924,38.18,-4.72,20.1,30.0,16.4,多头,38.38,34.19,32.32,31.19,18.1,22.4,3.6,1.707,0.675,2.063,金叉(5日前),"0.486,1.347,1.917,2.232,2.063",True,68.5,63.6,81.6,74.3,96.3,90.0,39.7,24.94,1.15,1.8,12.62,41.14,27.64,27.64,41.14,41.76,22.55,-8.6,81.0,0,False,False,False,20260716:-24.1%;20240621:-25.7%;20230621:-30.3%,200,38.18,32.45,31.81,29.88,20.0,27.8,5.1,周线多头,1.384,1.389,,True,41.76,22.55,-8.6,81.0,False,31.81,41.76,88172600.2,1.4,True,4,,日周共振向上,
关注个股,SH,688131,皓元医药,20260924,103.54,-6.19,10.0,14.1,7.6,强多头,103.07,97.03,94.51,89.03,9.6,16.3,1.9,3.254,1.875,2.76,金叉(5日前),"0.259,1.265,1.595,2.959,2.760",True,60.9,59.8,80.5,76.0,89.7,90.0,105.75,83.26,1.58,1.56,3.18,111.3,85.2,85.2,111.3,111.3,67.0,-7.0,82.0,0,False,False,False,20240627:-27.5%;20230530:-28.1%;20220613:-30.4%,269,103.54,94.4,90.99,85.51,13.8,21.1,4.3,周线多头,6.18,2.696,,True,104.44,66.88,-0.9,98.0,False,90.99,104.44,26929018.9,1.03,True,4,,日周共振向上,
关注个股,SH,688617,惠泰医疗,20260924,236.04,-3.88,-3.2,-1.6,-5.8,空头,241.7,243.15,243.84,226.56,-3.2,4.2,-1.3,2.17,3.767,-3.195,,"-3.423,-3.111,-2.849,-2.344,-3.195",True,33.2,46.2,42.5,47.8,31.8,-3.0,251.21,236.46,1.09,0.96,1.11,254.0,233.08,233.08,254.0,271.0,182.0,-12.9,61.0,0,False,False,False,20250619:-31.3%;20240726:-31.1%,293,236.04,243.69,234.32,219.17,0.7,7.7,8.6,周线偏多,1.688,9.924,,True,271.0,176.28,-12.9,63.0,False,234.32,271.0,8111644.1,0.72,True,4,,周多日空(深度回调),
关注个股,SH,688161,威高骨科,20260924,21.64,-1.32,3.1,-4.5,-1.9,空头,21.75,21.47,21.82,21.83,-0.8,-0.9,-0.4,-0.105,-0.111,0.011,金叉(2日前),"-0.259,-0.146,-0.050,0.009,0.011",False,48.0,47.8,52.2,41.1,74.6,41.0,22.83,20.8,0.53,0.76,0.17,23.25,20.6,20.6,23.25,23.32,19.87,-7.2,51.0,0,False,False,False,,268,21.64,21.8,21.77,22.6,-0.6,-4.2,0.3,周线震荡,-1.614,0.337,周金叉(5周前),False,29.44,19.83,-26.5,19.0,False,21.77,29.44,6034963.5,0.67,True,4,,双周期偏弱,
关注个股,SZ,300760,迈瑞医疗,20260924,153.86,-1.03,-1.9,-7.1,-5.0,空头,156.18,157.89,162.66,154.79,-5.4,-0.6,-0.5,-0.727,0.826,-3.106,,"-3.361,-3.162,-3.083,-3.056,-3.106",False,19.3,38.2,4.8,9.1,-3.8,8.0,173.2,152.11,0.65,0.71,0.41,171.99,153.72,153.72,171.99,171.99,136.02,-10.5,50.0,0,False,False,False,,407,153.86,161.53,156.93,151.75,-2.0,1.4,5.3,周线震荡,-3.972,5.971,,False,176.56,130.66,-12.9,51.0,False,156.93,176.56,45631254.8,0.48,True,4,,双周期偏弱,
关注个股,SH,688578,艾力斯,20260924,104.22,-7.29,5.9,1.5,-9.4,空头,104.39,101.93,105.35,114.37,-1.1,-8.9,-2.2,-2.432,-3.143,1.422,金叉(2日前),"-1.651,-0.947,-0.301,1.409,1.422",False,50.0,46.5,52.0,41.4,73.3,44.0,115.22,95.48,1.77,1.56,2.14,114.77,97.85,97.85,114.77,138.3,97.85,-24.6,16.0,0,False,False,False,,298,104.22,105.67,111.27,105.07,-6.3,-0.8,-4.1,周线偏空,2.338,-2.526,周死叉(3周前),True,138.3,78.82,-24.6,43.0,False,111.27,138.3,36160848.6,1.02,True,4,,双周期偏弱,
关注个股,SZ,002653,海思科,20260924,61.31,-6.34,-1.7,-2.1,-8.2,空头,64.8,63.95,65.17,67.12,-5.9,-8.7,-0.2,-0.692,-0.622,-0.14,死叉(1日前),"-0.692,-0.019,0.277,0.351,-0.140",False,32.6,40.3,40.1,44.1,32.0,8.0,69.78,60.56,1.21,1.03,1.11,70.23,61.08,61.08,70.23,80.83,58.79,-24.1,11.0,0,False,False,False,20130912:-27.5%;20130311:-52.9%,752,61.31,64.76,65.98,61.74,-7.1,-0.7,-2.4,周线偏空,2.842,-1.235,周死叉(2周前),True,80.83,45.68,-24.1,44.0,False,65.98,80.83,33354368.1,0.67,True,4,,双周期偏弱,
关注个股,SZ,000504,南华生物,20260924,13.73,7.6,50.9,57.8,63.3,强多头,11.92,10.23,9.31,8.57,47.5,60.2,10.8,1.022,0.475,1.095,,"0.229,0.448,0.700,0.899,1.095",True,94.7,86.4,90.8,83.6,105.4,117.0,12.63,5.99,6.87,2.98,35.0,14.04,8.06,8.06,14.04,14.04,7.31,-2.2,95.0,4,False,False,False,19950523:-13.1%;19950519:43.7%;19940824:-12.8%,1610,13.73,9.71,8.93,8.71,53.8,57.7,10.3,周线多头,0.329,0.904,,True,10.01,7.02,37.2,224.0,True,8.93,10.01,33660574.8,6.86,True,4,,日周共振向上,
关注个股,SZ,300759,康龙化成,20260924,43.5,-3.38,-0.6,4.7,-3.5,震荡,44.28,43.36,42.84,41.34,1.5,5.2,-0.8,0.344,0.23,0.228,金叉(4日前),"-0.219,0.117,0.234,0.363,0.228",True,48.5,51.0,69.6,70.0,68.7,63.0,45.33,40.35,0.81,1.15,2.73,46.35,39.66,39.66,46.35,53.57,28.61,-18.8,60.0,0,False,False,False,20230727:-33.8%;20220614:-34.5%,392,43.5,42.41,42.98,35.04,1.2,24.1,11.1,周线偏多,4.094,1.424,,True,53.57,21.01,-18.8,69.0,False,42.98,53.57,326305093.5,0.67,True,4,,周多日震(回踩确认),
关注个股,SH,688331,荣昌生物,20260924,116.28,-6.79,1.9,1.9,-4.5,震荡,121.2,118.31,119.86,124.42,-3.0,-6.5,-0.0,-0.978,-1.463,0.969,金叉(4日前),"-1.359,0.193,1.205,1.764,0.969",False,39.7,44.6,53.7,53.4,54.2,29.0,128.5,111.21,1.25,1.28,2.01,128.96,110.2,110.2,128.96,157.8,106.9,-26.3,18.0,0,False,False,False,,230,116.28,117.96,121.13,120.0,-4.0,-3.1,-3.3,周线偏空,1.72,-3.944,,True,157.8,96.02,-26.3,33.0,False,121.13,157.8,36780129.8,0.85,True,4,,双周期偏弱,
关注个股,SH,688271,联影医疗,20260924,102.41,0.21,2.1,0.0,-2.7,震荡,102.11,101.98,103.68,108.04,-1.2,-5.2,-0.9,-1.648,-1.751,0.206,金叉(2日前),"-0.641,-0.324,-0.103,0.052,0.206",False,47.6,42.3,45.1,33.3,68.7,35.0,108.04,99.32,1.42,0.97,0.59,109.79,100.15,100.15,109.79,119.85,100.15,-14.6,11.0,0,False,False,False,,209,102.41,104.13,107.29,108.71,-4.5,-5.8,-0.7,周线偏空,-4.334,-0.149,周死叉(2周前),False,130.76,95.9,-21.7,19.0,False,107.29,130.76,23084894.9,0.6,True,4,,双周期偏弱,
关注个股,SZ,300298,三诺生物,20260924,16.15,-1.16,3.6,4.3,0.1,多头,16.18,15.79,15.82,15.79,2.1,2.3,0.1,0.053,-0.03,0.167,金叉(4日前),"-0.066,0.068,0.138,0.176,0.167",True,60.2,55.1,77.1,65.9,99.6,74.0,16.52,15.12,1.08,1.3,0.84,16.47,15.1,15.1,16.47,16.84,14.02,-4.1,76.0,0,False,False,False,20160311:-26.5%;20140513:-33.9%;20130403:-34.1%,705,16.15,15.81,15.92,15.55,1.4,3.9,2.7,周线偏多,-0.254,0.326,,False,17.29,13.37,-6.6,71.0,False,15.92,17.29,25852771.6,0.75,True,4,,日周共振向上,
关注个股,SH,688016,心脉医疗,20260924,85.01,-1.43,1.0,0.1,-6.4,空头,85.53,84.59,85.94,90.1,-1.1,-5.6,-1.7,-1.449,-1.721,0.544,金叉(4日前),"-0.292,0.102,0.315,0.550,0.544",False,44.7,40.9,67.6,55.6,91.4,38.0,89.74,82.15,0.75,0.81,0.65,91.79,82.36,82.36,91.79,97.43,82.36,-12.7,18.0,0,False,False,False,20240514:-33.7%,368,85.01,86.08,89.24,91.89,-4.7,-7.5,-2.1,周线偏空,-3.398,-1.391,,False,107.27,82.36,-20.8,11.0,False,89.24,107.27,7033603.9,0.51,True,4,,双周期偏弱,
关注个股,SH,688235,百济神州,20260924,258.0,-3.19,1.0,1.7,-7.8,空头,263.35,258.2,261.71,270.58,-1.4,-4.6,-1.6,-3.238,-4.132,1.788,金叉(3日前),"-2.390,-0.046,1.646,2.429,1.788",False,42.7,44.5,62.2,57.9,70.9,37.0,276.24,247.18,0.76,1.08,1.91,278.8,244.23,244.23,278.8,314.85,244.23,-18.1,19.0,0,False,False,False,,244,258.0,260.8,270.83,256.05,-4.7,0.8,0.6,周线震荡,2.957,-0.382,周死叉(1周前),True,314.85,205.51,-18.1,48.0,False,270.83,314.85,24020363.5,0.53,True,4,,双周期偏弱,
关注个股,SH,601101,昊华能源,20260924,13.06,-1.43,1.0,-4.1,-8.2,空头,13.26,13.17,13.61,12.55,-4.1,4.1,-0.2,0.051,0.146,-0.191,,"-0.366,-0.274,-0.195,-0.181,-0.191",True,40.6,47.7,40.9,34.4,53.9,27.0,14.81,12.41,0.38,0.57,0.75,15.32,12.7,12.7,15.32,15.32,10.26,-14.8,55.0,0,False,False,False,20220701:-21.0%;20120712:-20.4%;20110704:-54.6%,824,13.06,13.58,12.98,12.14,0.6,7.6,8.1,周线偏多,1.065,0.017,,True,15.32,10.08,-14.8,57.0,False,12.98,15.32,206984891.9,0.32,True,4,,周多日空(深度回调),
关注个股,SH,600546,山煤国际,20260924,13.36,-0.07,1.4,-2.8,-4.4,震荡,13.47,13.33,13.43,12.95,-0.5,3.2,-0.1,0.07,0.088,-0.037,,"-0.111,-0.057,-0.018,-0.029,-0.037",True,47.9,50.8,57.1,51.4,68.4,45.0,14.11,12.76,0.59,0.75,0.66,14.54,12.8,12.8,14.54,14.54,11.65,-8.1,59.0,0,False,False,False,20130805:-51.2%;20060921:-45.0%;20060727:-24.6%,1164,13.36,13.44,13.14,12.96,1.7,3.1,4.6,周线偏多,0.397,0.021,周金叉(5周前),True,15.73,10.8,-15.1,52.0,False,13.14,15.73,126733385.4,0.51,True,4,,周多日震(回踩确认),
关注个股,SH,601225,陕西煤业,20260924,25.83,0.58,1.6,-1.0,-4.3,震荡,25.69,25.74,26.07,25.17,-0.9,2.6,-0.7,0.016,0.097,-0.162,,"-0.369,-0.314,-0.223,-0.202,-0.162",True,50.9,50.5,48.1,40.1,64.1,39.0,27.18,24.96,0.84,0.84,0.3,27.8,24.91,24.91,27.8,27.8,21.36,-7.1,69.0,0,False,False,False,20230712:-11.2%,649,25.83,26.08,25.6,24.78,0.9,4.3,5.7,周线偏多,0.559,0.169,,True,28.2,20.02,-8.4,71.0,False,25.6,28.2,190732850.8,0.61,True,4,,周多日震(回踩确认),
关注个股,SH,600188,兖矿能源,20260924,19.76,-0.05,-1.9,-9.1,-12.9,空头,20.0,20.21,21.13,20.67,-6.5,-4.4,-2.1,-0.419,-0.238,-0.362,,"-0.589,-0.476,-0.390,-0.387,-0.362",False,33.3,40.3,18.4,18.5,18.0,19.0,23.38,18.89,0.48,0.77,0.36,23.81,19.4,19.4,23.81,23.81,17.31,-17.0,38.0,0,False,False,False,20240708:-28.8%;20230717:-41.9%;20060403:-15.0%,1424,19.76,21.08,21.02,20.67,-6.0,-4.4,4.8,周线震荡,0.622,-0.477,周死叉(3周前),True,27.8,17.29,-28.9,24.0,False,21.02,27.8,261819941.8,0.49,True,4,,双周期偏弱,
关注个股,SH,601088,中国神华,20260924,48.03,1.74,3.3,1.6,0.5,震荡,47.16,47.1,47.31,45.46,1.5,5.6,0.0,0.338,0.384,-0.092,,"-0.463,-0.419,-0.286,-0.235,-0.092",True,66.9,59.9,68.3,56.4,92.1,76.0,48.69,45.94,1.02,0.78,0.15,49.48,45.22,45.22,49.48,49.48,40.2,-2.9,84.0,0,False,False,False,,957,48.03,47.4,46.35,45.16,3.6,6.3,5.3,周线多头,0.89,0.55,,True,51.18,38.73,-6.2,75.0,False,46.35,51.18,141288574.2,0.57,True,4,,周多日震(回踩确认),
关注个股,SH,601898,中煤能源,20260924,14.01,0.65,0.0,-6.2,-6.3,空头,14.06,14.2,14.68,14.08,-4.6,-0.5,-1.2,-0.129,-0.015,-0.227,,"-0.335,-0.286,-0.247,-0.250,-0.227",False,38.7,44.2,22.4,20.3,26.8,22.0,15.86,13.5,0.53,0.64,0.23,16.29,13.7,13.7,16.29,16.29,12.47,-14.0,40.0,0,False,False,False,,955,14.01,14.63,14.3,14.4,-2.0,-2.7,5.4,周线震荡,-0.194,-0.009,周死叉(1周前),False,18.65,11.96,-24.9,31.0,False,14.3,18.65,221814552.8,0.44,True,4,,双周期偏弱,
关注个股,SH,601699,潞安环能,20260924,15.35,-0.2,0.3,-5.5,-11.3,空头,15.46,15.51,16.11,15.78,-4.7,-2.7,-2.2,-0.241,-0.143,-0.197,,"-0.385,-0.314,-0.234,-0.217,-0.197",False,37.2,42.0,28.1,21.9,40.4,24.0,17.57,14.65,0.47,0.75,0.45,18.28,15.04,15.04,18.28,18.28,14.15,-16.0,29.0,0,False,False,False,20230608:-15.6%;20150611:-22.9%;20110628:-50.3%,1019,15.35,15.97,15.95,15.85,-3.7,-3.2,2.6,周线震荡,0.341,-0.248,周死叉(3周前),True,19.76,13.99,-22.3,24.0,False,15.95,19.76,164764142.8,0.47,True,4,,双周期偏弱,
